id,class,long,lat,NDVI,NDWI,ONIR,ODVI,NDCI,PSRI,BNDVI,HubDist
"206709","1",119.875682,4.910833,-0.000232,0.041407,563.508891,-0.002159,0.023129,-0.131948,-0.063710,4635.388700794589568
"206710","1",119.876132,4.910831,0.002333,0.056239,628.508891,0.000406,0.028182,-0.177718,-0.082051,4678.647180412378475
"206711","1",119.876583,4.910829,-0.004463,0.085850,741.508891,-0.006390,0.027298,-0.212534,-0.103069,4722.037878100647504
"207141","1",119.873428,4.910391,0.009243,0.028056,505.508891,0.007316,0.025322,-0.127775,-0.053232,4395.099510133566582
"207142","1",119.873878,4.910389,0.008639,0.030521,520.508891,0.006712,0.024132,-0.129224,-0.053876,4437.888515499144887
"207143","1",119.874329,4.910387,0.008908,0.030631,512.508891,0.006981,0.031386,-0.136343,-0.057174,4480.825875866022216
"207144","1",119.874779,4.910385,0.009855,0.032374,520.508891,0.007928,0.027426,-0.151473,-0.062514,4523.907366376340178
"207145","1",119.875229,4.910383,0.002322,0.035962,543.508891,0.000395,0.029153,-0.140200,-0.064789,4567.128907664547114
"207146","1",119.875680,4.910381,0.004005,0.039874,532.508891,0.002078,0.031608,-0.144767,-0.065146,4610.486560323174672
"207147","1",119.876130,4.910379,0.003507,0.057532,632.508891,0.001580,0.027385,-0.182192,-0.082121,4653.976519570138407
"207578","1",119.873426,4.909939,0.009295,0.024007,474.508891,0.007368,0.027264,-0.123000,-0.050791,4369.399129249928592
"207579","1",119.873876,4.909937,0.009706,0.026497,500.508891,0.007779,0.027337,-0.129255,-0.052562,4412.437377592989833
"207580","1",119.874327,4.909935,0.006715,0.034459,513.508891,0.004788,0.027675,-0.136866,-0.059121,4455.620018974544109
"207581","1",119.874777,4.909933,0.008692,0.037220,537.508891,0.006765,0.026977,-0.140230,-0.058746,4498.942894914573117
"207582","1",119.875227,4.909931,0.010396,0.033412,536.508891,0.008469,0.026207,-0.153497,-0.063549,4542.401992323730155
"207583","1",119.875678,4.909929,0.009591,0.041315,568.508891,0.007664,0.028676,-0.169384,-0.071628,4585.993437854617696
"207584","1",119.876128,4.909927,0.005756,0.056529,621.508891,0.003829,0.027350,-0.180479,-0.079058,4629.713492470456004
"208015","1",119.873424,4.909487,0.004398,0.030852,471.508891,0.002471,0.029207,-0.125116,-0.056182,4344.121243806056555
"208016","1",119.873874,4.909485,0.007327,0.029599,485.508891,0.005400,0.025296,-0.127650,-0.054570,4387.407472287711244
"208017","1",119.874325,4.909483,0.006001,0.034226,513.508891,0.004074,0.025156,-0.131531,-0.057644,4430.834070093677838
"208018","1",119.874775,4.909481,0.010184,0.034784,537.508891,0.008257,0.031608,-0.134068,-0.054454,4474.396949469958599
"208019","1",119.875226,4.909479,0.008895,0.037087,545.508891,0.006968,0.029122,-0.146831,-0.061820,4518.092167734747818
"208020","1",119.875676,4.909477,0.009003,0.044614,583.508891,0.007076,0.027759,-0.171846,-0.072542,4561.915921503209574
"208021","1",119.876126,4.909475,0.004486,0.061134,628.508891,0.002559,0.026103,-0.180974,-0.080216,4605.864541182743778
"208452","1",119.873422,4.909035,0.008702,0.023202,440.508891,0.006775,0.029638,-0.122098,-0.050813,4319.273271577907508
"208453","1",119.873872,4.909033,0.007327,0.027936,441.508891,0.005400,0.029135,-0.129944,-0.055311,4362.806049563966553
"208454","1",119.874323,4.909031,0.003777,0.034952,504.508891,0.001850,0.026977,-0.131057,-0.059292,4406.475115041680510
"208455","1",119.874773,4.909029,0.004821,0.033586,509.508891,0.002894,0.026007,-0.120879,-0.053913,4450.276455318894477
"208456","1",119.875224,4.909027,0.008199,0.036058,537.508891,0.006272,0.024873,-0.142396,-0.059851,4494.206202216506426
"208457","1",119.875674,4.909026,0.004465,0.047046,572.508891,0.002538,0.029776,-0.166819,-0.074691,4538.260626205030349
"208458","1",119.876124,4.909024,0.000354,0.058366,604.508891,-0.001573,0.027574,-0.171363,-0.080248,4582.436130793110351
"208459","1",119.876575,4.909022,-0.009727,0.096923,728.508891,-0.011654,0.025724,-0.214286,-0.107479,4626.729247148225113
"208889","1",119.873420,4.908583,0.007954,0.024698,454.508891,0.006027,0.024971,-0.115385,-0.048313,4294.862674374026028
"208890","1",119.873870,4.908582,0.010732,0.025747,455.508891,0.008805,0.028571,-0.124420,-0.049989,4338.640398310142700
"208891","1",119.874321,4.908580,0.005561,0.033110,494.508891,0.003634,0.031797,-0.127514,-0.056721,4382.550273735321753
"208892","1",119.874771,4.908578,-0.000118,0.035994,505.508891,-0.002045,0.028598,-0.120345,-0.058863,4426.588367321374790
"208893","1",119.875222,4.908576,-0.000472,0.039438,517.508891,-0.002399,0.022581,-0.135671,-0.065285,4470.750889457781341
"208894","1",119.875672,4.908574,0.003519,0.045302,566.508891,0.001592,0.026358,-0.159706,-0.072219,4515.034188299846392
"208895","1",119.876122,4.908572,0.001300,0.059202,608.508891,-0.000627,0.026055,-0.178899,-0.083234,4559.434744087882791
"208896","1",119.876573,4.908570,-0.010709,0.089782,685.508891,-0.012636,0.025070,-0.193032,-0.099551,4603.949163687801047
"209326","1",119.873418,4.908132,0.005120,0.024385,440.508891,0.003193,0.026788,-0.110393,-0.049003,4270.896951738062853
"209327","1",119.873868,4.908130,0.006421,0.028912,466.508891,0.004494,0.026107,-0.117538,-0.050908,4314.917840132320634
"209328","1",119.874319,4.908128,0.003668,0.034271,495.508891,0.001741,0.030847,-0.130892,-0.059958,4359.066694110832032
"209329","1",119.874769,4.908126,0.000355,0.035686,495.508891,-0.001572,0.026492,-0.128532,-0.062202,4403.339663961921360
"209330","1",119.875220,4.908124,0.004501,0.034389,495.508891,0.002574,0.025962,-0.130295,-0.058615,4447.733042659597231
"209331","1",119.875670,4.908122,0.001191,0.044783,522.508891,-0.000736,0.028730,-0.138490,-0.065391,4492.243259813761142
"209332","1",119.876121,4.908120,-0.003469,0.062043,582.508891,-0.005396,0.024424,-0.175000,-0.086122,4536.866875947945118
"209333","1",119.876571,4.908118,-0.005879,0.098823,698.508891,-0.007806,0.028855,-0.210801,-0.103601,4581.600576981320046
"209763","1",119.873416,4.907680,0.003815,0.025012,437.508891,0.001888,0.027241,-0.113615,-0.052015,4247.383634246716611
"209764","1",119.873867,4.907678,0.007418,0.028163,451.508891,0.005491,0.034226,-0.129122,-0.055418,4291.645722781723634
"209765","1",119.874317,4.907676,0.007893,0.034593,482.508891,0.005966,0.032875,-0.140955,-0.061052,4336.031545682621072
"209766","1",119.874767,4.907674,0.004425,0.036153,481.508891,0.002498,0.030289,-0.140690,-0.064081,4380.537341051757721
"209767","1",119.875218,4.907672,0.003686,0.037290,498.508891,0.001759,0.029643,-0.136406,-0.062313,4425.159488376610170
"209768","1",119.875668,4.907670,-0.004178,0.046738,514.508891,-0.006105,0.026163,-0.132475,-0.068245,4469.894502429568092
"209769","1",119.876119,4.907668,0.000000,0.062826,567.508891,-0.001927,0.029819,-0.190118,-0.089065,4514.739027485122278
"209770","1",119.876569,4.907666,-0.001582,0.082037,641.508891,-0.003509,0.023962,-0.202940,-0.095800,4559.689831769423108
"210200","1",119.873414,4.907228,0.007645,0.024965,441.508891,0.005718,0.026254,-0.112349,-0.047425,4224.330276394807697
"210201","1",119.873865,4.907226,0.007082,0.031960,460.508891,0.005155,0.026594,-0.128644,-0.055924,4268.831413180586424
"210202","1",119.874315,4.907224,0.005421,0.036370,468.508891,0.003494,0.027103,-0.128791,-0.057269,4313.452012733776428
"210203","1",119.874765,4.907222,0.003721,0.039623,487.508891,0.001794,0.025135,-0.129828,-0.059287,4358.188405070489353
"210204","1",119.875216,4.907220,0.000719,0.036250,468.508891,-0.001208,0.021367,-0.122840,-0.058638,4403.037060032418594
"210205","1",119.875666,4.907218,0.006417,0.042498,444.508891,0.004490,0.028944,-0.157041,-0.069162,4447.994581160862253
"210206","1",119.876117,4.907217,0.005917,0.060773,504.508891,0.003990,0.033196,-0.189281,-0.083584,4493.057699853380655
"210207","1",119.876567,4.907215,-0.004273,0.071655,544.508891,-0.006200,0.022190,-0.166911,-0.081834,4538.223269806847384
"210637","1",119.873412,4.906776,0.004915,0.028849,444.508891,0.002988,0.026964,-0.113753,-0.050629,4201.744449050368530
"210638","1",119.873863,4.906774,0.003490,0.032827,450.508891,0.001563,0.029536,-0.120113,-0.054541,4246.482290082630243
"210639","1",119.874313,4.906773,0.004829,0.034115,452.508891,0.002902,0.024610,-0.132798,-0.059010,4291.335287147308009
"210640","1",119.874763,4.906771,0.001454,0.042632,474.508891,-0.000473,0.024852,-0.133869,-0.062826,4336.299866174522322
"210641","1",119.875214,4.906769,0.001470,0.043519,454.508891,-0.000457,0.031139,-0.137506,-0.064959,4381.372591108465713
"210642","1",119.875664,4.906767,0.000996,0.046942,432.508891,-0.000931,0.026922,-0.159124,-0.074373,4426.550157729197053
"210643","1",119.876115,4.906765,-0.001258,0.063930,479.508891,-0.003185,0.022604,-0.180841,-0.086346,4471.829387828195649
"210644","1",119.876565,4.906763,-0.001829,0.072914,514.508891,-0.003756,0.029326,-0.177474,-0.085764,4517.207223609927496
"211074","1",119.873410,4.906325,0.007804,0.019278,405.508891,0.005877,0.024321,-0.116192,-0.049054,4179.633731522089874
"211075","1",119.873861,4.906323,0.004211,0.024202,414.508891,0.002284,0.027497,-0.118980,-0.053205,4224.605736314998467
"211076","1",119.874311,4.906321,0.000431,0.035479,402.508891,-0.001496,0.023603,-0.123451,-0.059621,4269.688560870601577
"211077","1",119.874762,4.906319,-0.002561,0.040253,440.508891,-0.004488,0.026066,-0.136752,-0.068034,4314.878730893344255
"211078","1",119.875212,4.906317,-0.000121,0.041489,477.508891,-0.002048,0.022620,-0.142259,-0.068822,4360.172908019404531
"211079","1",119.875662,4.906315,0.000729,0.048983,494.508891,-0.001198,0.021196,-0.145626,-0.068989,4405.567883645897382
"211080","1",119.876113,4.906313,-0.007290,0.061120,494.508891,-0.009217,0.023479,-0.162991,-0.084236,4451.060573074668355
"211081","1",119.876563,4.906311,-0.009187,0.073962,491.508891,-0.011114,0.027119,-0.162017,-0.085871,4496.648009929916043
"211511","1",119.873408,4.905873,0.006627,0.021436,404.508891,0.004700,0.028289,-0.120093,-0.052082,4158.005703183031983
"211512","1",119.873859,4.905871,0.009678,0.027263,400.508891,0.007751,0.031392,-0.127119,-0.052970,4203.209130670340528
"211513","1",119.874309,4.905869,0.003435,0.035150,418.508891,0.001508,0.030780,-0.135392,-0.062142,4248.519018023088393
"211514","1",119.874760,4.905867,0.001959,0.042583,452.508891,0.000032,0.029061,-0.139709,-0.066180,4293.931994431456587
"211515","1",119.875210,4.905865,0.002678,0.045876,481.508891,0.000751,0.030991,-0.163602,-0.075438,4339.444822687996748
"211516","1",119.875660,4.905863,0.001573,0.049489,509.508891,-0.000354,0.027346,-0.161153,-0.074774,4385.054393006615101
"211517","1",119.876111,4.905861,-0.002967,0.058164,489.508891,-0.004894,0.031287,-0.177841,-0.087370,4430.757717168819909
"211518","1",119.876561,4.905859,-0.007145,0.078251,520.508891,-0.009072,0.031379,-0.187288,-0.095455,4476.551922975942944
"211948","1",119.873406,4.905421,0.007935,0.022616,417.508891,0.006008,0.026887,-0.098214,-0.040293,4136.867934705810512
"211949","1",119.873857,4.905419,0.007109,0.024851,420.508891,0.005182,0.023465,-0.109557,-0.046870,4182.299839383713334
"211950","1",119.874307,4.905417,0.006354,0.032197,420.508891,0.004427,0.028435,-0.127650,-0.056154,4227.833826645234694
"211951","1",119.874758,4.905415,0.007450,0.042318,450.508891,0.005523,0.030084,-0.147847,-0.063798,4273.466632712014871
"211952","1",119.875208,4.905413,0.005721,0.042309,472.508891,0.003794,0.031079,-0.155482,-0.068861,4319.195124806999956
"211953","1",119.875658,4.905411,0.001467,0.054697,509.508891,-0.000460,0.026228,-0.180142,-0.083874,4365.016294984699925
"211954","1",119.876109,4.905410,0.004790,0.061455,478.508891,0.002863,0.031166,-0.207692,-0.093885,4410.927254330914366
"211955","1",119.876559,4.905408,0.002646,0.070870,517.508891,0.000719,0.028235,-0.219010,-0.098856,4456.925227417414135
"212385","1",119.873405,4.904969,-0.003272,0.027774,398.508891,-0.005199,0.024735,-0.087902,-0.046261,4116.227978887381141
"212386","1",119.873855,4.904967,0.004018,0.030681,416.508891,0.002091,0.024332,-0.108159,-0.048795,4161.885207256084868
"212387","1",119.874305,4.904966,0.006670,0.035878,393.508891,0.004743,0.029713,-0.132790,-0.058364,4207.640130108919948
"212388","1",119.874756,4.904964,-0.000432,0.043191,431.508891,-0.002359,0.029229,-0.143741,-0.069791,4253.489594040935117
"212389","1",119.875206,4.904962,0.000122,0.049264,487.508891,-0.001805,0.027284,-0.158069,-0.075206,4299.430573780104169
"212390","1",119.875657,4.904960,0.007442,0.050477,508.508891,0.005515,0.027260,-0.181342,-0.078245,4345.460166085333185
"212391","1",119.876107,4.904958,0.014974,0.060892,502.508891,0.013047,0.030708,-0.211632,-0.084761,4391.575583944256323
"212392","1",119.876557,4.904956,0.005732,0.076629,551.508891,0.003805,0.025920,-0.241159,-0.104995,4437.774151101130883
"212822","1",119.873403,4.904518,-0.003413,0.022711,363.508891,-0.005340,0.023951,-0.083139,-0.044860,4096.093361072957123
"212823","1",119.873853,4.904516,-0.000611,0.027933,386.508891,-0.002538,0.025934,-0.100330,-0.050064,4141.972548408186412
"212824","1",119.874303,4.904514,0.001458,0.032637,423.508891,-0.000469,0.024691,-0.106704,-0.050691,4187.945038183077486
"212825","1",119.874754,4.904512,-0.002309,0.040158,390.508891,-0.004236,0.027367,-0.138676,-0.069429,4234.007790487827151
"212826","1",119.875204,4.904510,-0.000735,0.049860,477.508891,-0.002662,0.024833,-0.158670,-0.076331,4280.157890428047722
"212827","1",119.875655,4.904508,0.007733,0.051635,500.508891,0.005806,0.025554,-0.169847,-0.073259,4326.392542089294693
"212828","1",119.876105,4.904506,0.001264,0.066478,486.508891,-0.000663,0.019851,-0.207566,-0.094236,4372.709062774370977
"212829","1",119.876555,4.904504,0.006688,0.074371,539.508891,0.004761,0.021626,-0.234709,-0.100462,4419.104877613634017
"213259","1",119.873401,4.904066,0.000864,0.021595,341.508891,-0.001063,0.033890,-0.102214,-0.050018,4076.471569206586082
"213260","1",119.873851,4.904064,0.001478,0.025174,362.508891,-0.000449,0.030839,-0.110214,-0.052656,4122.569136676738708
"213261","1",119.874301,4.904062,0.005714,0.030883,377.508891,0.003787,0.031696,-0.133877,-0.059480,4168.755617776426334
"213262","1",119.874752,4.904060,0.003125,0.038457,391.508891,0.001198,0.027791,-0.144851,-0.067070,4215.028088966606447
"213263","1",119.875202,4.904058,0.002464,0.045070,450.508891,0.000537,0.029257,-0.164919,-0.076294,4261.383748371830734
"213264","1",119.875653,4.904056,-0.002715,0.053199,471.508891,-0.004642,0.026833,-0.147596,-0.072969,4307.819909784114316
"213265","1",119.876103,4.904054,0.000841,0.064959,427.508891,-0.001086,0.025486,-0.202345,-0.092381,4354.333997015111891
"213266","1",119.876554,4.904052,0.002727,0.074284,518.508891,0.000800,0.022377,-0.220339,-0.098352,4400.923538561100941
"213696","1",119.873399,4.903614,0.012961,0.016185,343.508891,0.011034,0.031492,-0.112494,-0.042585,4057.370043506601633
"213697","1",119.873849,4.903612,0.008285,0.021246,351.508891,0.006358,0.027171,-0.113172,-0.047764,4103.682195673135539
"213698","1",119.874300,4.903610,0.007694,0.023334,351.508891,0.005767,0.023926,-0.136298,-0.058223,4150.078883366163609
"213699","1",119.874750,4.903608,0.004529,0.033648,359.508891,0.002602,0.026814,-0.148544,-0.067290,4196.557302031710606
"213700","1",119.875200,4.903606,0.006303,0.048276,466.508891,0.004376,0.026634,-0.185115,-0.081764,4243.114765168740632
"213701","1",119.875651,4.903604,0.009886,0.041745,445.508891,0.007959,0.032133,-0.178988,-0.074309,4289.748698428642456
"213702","1",119.876101,4.903602,0.001099,0.059702,405.508891,-0.000828,0.027449,-0.194570,-0.089990,4336.456634069398206
"213703","1",119.876552,4.903601,0.000571,0.076968,524.508891,-0.001356,0.027174,-0.214815,-0.098909,4383.236205696436627
"214133","1",119.873397,4.903162,0.013270,0.014594,327.508891,0.011343,0.028097,-0.110468,-0.041192,4038.796165793153250
"214134","1",119.873847,4.903160,0.008454,0.020526,337.508891,0.006527,0.030391,-0.107782,-0.044523,4085.318888537415205
"214135","1",119.874298,4.903158,0.008647,0.022959,346.508891,0.006720,0.027581,-0.140137,-0.058584,4131.921787156682512
"214136","1",119.874748,4.903157,0.008301,0.035668,409.508891,0.006374,0.027933,-0.144235,-0.061253,4178.602178398176875
"214137","1",119.875198,4.903155,0.009251,0.046720,470.508891,0.007324,0.030654,-0.182126,-0.076628,4225.357493221833465
"214138","1",119.875649,4.903153,0.006811,0.051010,475.508891,0.004884,0.025280,-0.179623,-0.078127,4272.185271016981460
"214139","1",119.876099,4.903151,0.005516,0.060530,436.508891,0.003589,0.027353,-0.201302,-0.088499,4319.083154149985603
"214140","1",119.876550,4.903149,0.000712,0.072779,459.508891,-0.001215,0.028212,-0.225076,-0.103128,4366.048882836572375
"214570","1",119.873395,4.902711,0.012395,0.016141,333.508891,0.010468,0.027581,-0.106829,-0.039737,4020.757248476776567
"214571","1",119.873845,4.902709,0.009482,0.017380,346.508891,0.007555,0.023549,-0.113116,-0.045079,4067.486307351358846
"214572","1",119.874296,4.902707,0.011637,0.024588,370.508891,0.009710,0.025629,-0.130329,-0.051532,4114.291208911193280
"214573","1",119.874746,4.902705,0.012774,0.030281,393.508891,0.010847,0.027370,-0.160706,-0.063425,4161.169393207634130
"214574","1",119.875196,4.902703,0.012419,0.042224,464.508891,0.010492,0.022871,-0.189664,-0.075974,4208.118410442581990
"214575","1",119.875647,4.902701,0.010913,0.050326,478.508891,0.008986,0.026367,-0.191914,-0.079078,4255.135915314307567
"214576","1",119.876097,4.902699,0.006869,0.063039,490.508891,0.004942,0.023302,-0.208704,-0.089936,4302.219661697969059
"214577","1",119.876548,4.902697,0.010590,0.069907,447.508891,0.008663,0.028747,-0.229990,-0.096646,4349.367497632612867
"215007","1",119.873393,4.902259,0.008915,0.017129,332.508891,0.006988,0.026988,-0.097585,-0.039151,4003.260523248982736
"215008","1",119.873843,4.902257,0.012865,0.016338,339.508891,0.010938,0.027067,-0.114120,-0.043011,4050.191462319570746
"215009","1",119.874294,4.902255,0.015483,0.023860,391.508891,0.013556,0.025541,-0.132431,-0.048584,4097.193945594532124
"215010","1",119.874744,4.902253,0.013160,0.027046,398.508891,0.011233,0.022417,-0.145153,-0.056033,4144.265538091413873
"215011","1",119.875195,4.902251,0.011921,0.041109,459.508891,0.009994,0.025927,-0.184262,-0.073895,4191.403910708826515
"215012","1",119.875645,4.902249,0.006804,0.050962,477.508891,0.004877,0.025728,-0.188505,-0.081179,4238.606834723997054
