id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"86615","4",119.964159,5.088360,0.045392,-0.055566,0.038818,0.056495,0.035328,0.065062,6630.508891,0.043465,806.462362023289
"86616","4",119.964339,5.088359,0.057386,-0.068772,0.044331,0.041994,0.052307,0.087524,6313.508891,0.055459,813.144571128507
"86617","4",119.964520,5.088358,0.057650,-0.072522,0.040879,0.031854,0.058944,0.091961,5966.508891,0.055723,820.259194237232
"86618","4",119.964700,5.088357,0.062756,-0.079174,0.048418,0.023744,0.061374,0.099175,5489.508891,0.060829,827.795081824748
"86619","4",119.964880,5.088357,0.064584,-0.078334,0.042330,0.031282,0.053958,0.095922,5279.508891,0.062657,835.740838090639
"87926","4",119.962176,5.088188,0.061895,-0.076528,0.050742,0.068790,0.049971,0.091139,5138.508891,0.059968,784.17476425314
"87927","4",119.962356,5.088188,0.049522,-0.064409,0.041451,0.076799,0.053502,0.080438,5578.508891,0.047595,785.473794972764
"87928","4",119.962537,5.088187,0.061856,-0.065288,0.045524,0.083339,0.005824,0.065135,5640.508891,0.059929,787.277974129348
"87929","4",119.962717,5.088186,0.063658,-0.063140,0.042041,0.090701,-0.007154,0.059746,5860.508891,0.061731,789.583838730568
"87930","4",119.962897,5.088185,0.047688,-0.057255,0.038159,0.082066,0.021454,0.059586,6155.508891,0.045761,792.387008792489
"87931","4",119.963077,5.088184,0.047131,-0.058800,0.041664,0.068749,0.035534,0.067054,6300.508891,0.045204,795.682228102147
"87932","4",119.963257,5.088183,0.056266,-0.068401,0.044162,0.065867,0.042321,0.080385,6315.508891,0.054339,799.463412069652
"87933","4",119.963438,5.088183,0.061183,-0.070551,0.043937,0.065198,0.038708,0.083202,6107.508891,0.059256,803.723701699852
"87934","4",119.963618,5.088182,0.054863,-0.060519,0.039756,0.071433,0.027062,0.069840,6136.508891,0.052936,808.455522608597
"87935","4",119.963798,5.088181,0.045207,-0.055490,0.039781,0.064567,0.032274,0.063020,6270.508891,0.043280,813.650647965926
"87936","4",119.963978,5.088180,0.042377,-0.054572,0.040580,0.052920,0.048536,0.069530,6292.508891,0.040450,819.300264238754
"87937","4",119.964158,5.088179,0.050214,-0.068260,0.035384,0.048347,0.062736,0.085898,6182.508891,0.048287,825.395038624108
"87938","4",119.964339,5.088178,0.070596,-0.085221,0.046835,0.038965,0.058408,0.105089,5890.508891,0.068669,831.925187115084
"87939","4",119.964519,5.088178,0.077619,-0.087139,0.043920,0.034699,0.050557,0.107451,5485.508891,0.075692,838.880542214532
