id,class,long,lat,NDVI,NDWI,NDCI,PSRI,BNDVI,ONIR,ODVI,HubName,HubDist
"1427594","5",120.063810,5.050945,0.139968,-0.169530,0.097555,0.169463,0.258458,6185.334259,0.152188,"511558",1433.15144458112
"1427595","5",120.063900,5.050945,0.140778,-0.173064,0.103852,0.162896,0.255134,6181.334259,0.152998,"511558",1426.27581959108
"1427596","5",120.063990,5.050944,0.141860,-0.173133,0.106042,0.163462,0.257163,6165.334259,0.154080,"511558",1419.43719640571
"1427597","5",120.064081,5.050944,0.139394,-0.173071,0.101640,0.162662,0.253773,6113.334259,0.151614,"511558",1412.63611239123
"1427598","5",120.064171,5.050943,0.130735,-0.169321,0.089308,0.175743,0.252349,6165.334259,0.142955,"511558",1405.87311232772
"1427599","5",120.064261,5.050943,0.135067,-0.171410,0.093149,0.173815,0.256766,6213.334259,0.147287,"511558",1399.14874845193
"1427600","5",120.064351,5.050943,0.140334,-0.176318,0.099290,0.171003,0.261249,6201.334259,0.152554,"511558",1392.46358048047
"1427601","5",120.064441,5.050942,0.135303,-0.172126,0.094241,0.179548,0.260794,6269.334259,0.147523,"511558",1385.81817564105
"1427602","5",120.064531,5.050942,0.134207,-0.169994,0.095312,0.175621,0.257004,6237.334259,0.146427,"511558",1379.21310867861
"1427603","5",120.064621,5.050941,0.141765,-0.173159,0.100050,0.163518,0.257985,6137.334259,0.153985,"511558",1372.6489618817
"1427604","5",120.064711,5.050941,0.149586,-0.180778,0.104107,0.157316,0.261614,6193.334259,0.161806,"511558",1366.12632509129
"1427605","5",120.064801,5.050940,0.157861,-0.186175,0.111484,0.158107,0.272918,6245.334259,0.170081,"511558",1359.64579569564
"1427606","5",120.064891,5.050940,0.162214,-0.187520,0.113728,0.159777,0.278964,6277.334259,0.174434,"511558",1353.20797863492
"1427607","5",120.064981,5.050940,0.158932,-0.187235,0.113196,0.159667,0.275717,6261.334259,0.171152,"511558",1346.8134863906
"1427608","5",120.065071,5.050939,0.164948,-0.189865,0.123362,0.143035,0.270555,6201.334259,0.177168,"511558",1340.46293896843
"1427609","5",120.065162,5.050939,0.181429,-0.200000,0.131604,0.140480,0.286944,6145.334259,0.193649,"511558",1334.15696387868
"1427610","5",120.065252,5.050938,0.197997,-0.211344,0.148453,0.128350,0.296477,6145.334259,0.210217,"511558",1327.89619610208
"1427611","5",120.065342,5.050938,0.204545,-0.217568,0.152950,0.129464,0.305797,6177.334259,0.216765,"511558",1321.6812780601
"1427612","5",120.065432,5.050937,0.198544,-0.212588,0.144396,0.125558,0.294959,6213.334259,0.210764,"511558",1315.51285955902
"1427613","5",120.065522,5.050937,0.179851,-0.203954,0.137594,0.138007,0.283907,6277.334259,0.192071,"511558",1309.3915977458
"1427614","5",120.065612,5.050937,0.167522,-0.190056,0.127260,0.144055,0.274702,6245.334259,0.179742,"511558",1303.31815704195
"1427615","5",120.065702,5.050936,0.185881,-0.201050,0.137934,0.134160,0.287397,6293.334259,0.198101,"511558",1297.29320906426
"1427616","5",120.065792,5.050936,0.192396,-0.205834,0.147773,0.125620,0.288700,6245.334259,0.204616,"511558",1291.31743256337
"1427617","5",120.065882,5.050935,0.188538,-0.197507,0.147597,0.126264,0.285211,6269.334259,0.200758,"511558",1285.39151330778
"1427618","5",120.065972,5.050935,0.178744,-0.192182,0.136325,0.126811,0.273930,6289.334259,0.190964,"511558",1279.51614400524
"1427619","5",120.066062,5.050934,0.172129,-0.187621,0.134470,0.132371,0.270345,6337.334259,0.184349,"511558",1273.69202417218
"1427620","5",120.066152,5.050934,0.161965,-0.177642,0.126600,0.132371,0.258929,6301.334259,0.174185,"511558",1267.91986002749
"1427621","5",120.066243,5.050934,0.169968,-0.175225,0.132771,0.121988,0.260151,6293.334259,0.182188,"511558",1262.20036434532
"1427622","5",120.066333,5.050933,0.177268,-0.183766,0.142304,0.120899,0.268174,6261.334259,0.189488,"511558",1256.53425631456
"1427623","5",120.066423,5.050933,0.181848,-0.186849,0.139081,0.112476,0.266412,6261.334259,0.194068,"511558",1250.92226138117
"1427624","5",120.066513,5.050932,0.180424,-0.178886,0.141417,0.107016,0.261067,6205.334259,0.192644,"511558",1245.3651110746
"1427625","5",120.066603,5.050932,0.172660,-0.173420,0.137672,0.119590,0.262204,6209.334259,0.184880,"511558",1239.8635428264
"1427626","5",120.066693,5.050931,0.163252,-0.168865,0.126264,0.122321,0.253103,6237.334259,0.175472,"511558",1234.41829977363
"1427627","5",120.066783,5.050931,0.148208,-0.146357,0.128942,0.120521,0.236870,6081.334259,0.160428,"511558",1229.03013054666
"1427628","5",120.066873,5.050931,0.138143,-0.136672,0.124116,0.123779,0.228781,6005.334259,0.150363,"511558",1223.69978904115
"1430182","5",120.058765,5.050879,0.214766,-0.191677,0.157549,0.115903,0.307574,4925.334259,0.226986,"516441",1153.42994900497
"1430183","5",120.058855,5.050878,0.214473,-0.191354,0.211365,0.105801,0.307508,4977.334259,0.226693,"516441",1161.41414262162
"1430184","5",120.058945,5.050878,0.187348,-0.179965,0.121465,0.134055,0.287114,5801.334259,0.199568,"516441",1169.4291613114
"1430185","5",120.059035,5.050877,0.174148,-0.171910,0.131933,0.116442,0.260855,6345.334259,0.186368,"516441",1177.47437557617
"1430186","5",120.059125,5.050877,0.172067,-0.168758,0.124782,0.131536,0.269506,6421.334259,0.184287,"516441",1185.54917066811
"1430187","5",120.059215,5.050876,0.168872,-0.172196,0.137133,0.129201,0.267509,6389.334259,0.181092,"516441",1193.6529462426
"1430188","5",120.059306,5.050876,0.173913,-0.173913,0.140116,0.129724,0.273411,6421.334259,0.186133,"516441",1201.78511602518
"1430189","5",120.059396,5.050876,0.171870,-0.171501,0.139862,0.125707,0.267394,6401.334259,0.184090,"516441",1209.94510747071
"1430190","5",120.059486,5.050875,0.165826,-0.169143,0.136141,0.127811,0.262547,6365.334259,0.178046,"516441",1218.1323614458
"1430191","5",120.059576,5.050875,0.170106,-0.175251,0.133953,0.136490,0.272789,6453.334259,0.182326,"516441",1226.34633190729
"1430192","5",120.059666,5.050874,0.176731,-0.176359,0.143280,0.133316,0.278598,6413.334259,0.188951,"516441",1234.5864855808
"1430193","5",120.059756,5.050874,0.181675,-0.183919,0.142384,0.129696,0.281261,6449.334259,0.193895,"516441",1242.85230166132
"1430194","5",120.059846,5.050873,0.182477,-0.183596,0.141628,0.126005,0.278800,6473.334259,0.194697,"516441",1251.14327150425
"1430195","5",120.059936,5.050873,0.188332,-0.186076,0.142019,0.126171,0.285763,6465.334259,0.200552,"516441",1259.4588983281
"1430196","5",120.060026,5.050873,0.202438,-0.195534,0.156359,0.116933,0.294422,6465.334259,0.214658,"516441",1267.79869693361
"1430197","5",120.060116,5.050872,0.199102,-0.191842,0.152646,0.118190,0.291883,6449.334259,0.211322,"516441",1276.16219340676
"1430198","5",120.060206,5.050872,0.202179,-0.196810,0.154212,0.117399,0.294463,6473.334259,0.214399,"516441",1284.54892484907
"1430199","5",120.060296,5.050871,0.195652,-0.193744,0.155492,0.118281,0.288322,6449.334259,0.207872,"516441",1292.95843910564
"1430200","5",120.060387,5.050871,0.185869,-0.182107,0.147404,0.119858,0.278655,6421.334259,0.198089,"516441",1301.39029448727
"1430201","5",120.060477,5.050870,0.175793,-0.172788,0.141213,0.119086,0.266644,6313.334259,0.188013,"516441",1309.84405952823
"1430202","5",120.060567,5.050870,0.174807,-0.170669,0.142356,0.116427,0.263740,6281.334259,0.187027,"516441",1318.31931272423
"1430203","5",120.060657,5.050870,0.161188,-0.164132,0.133105,0.132588,0.260377,6317.334259,0.173408,"516441",1326.81564227075
"1430204","5",120.060747,5.050869,0.161049,-0.169444,0.126847,0.133120,0.259309,6409.334259,0.173269,"516441",1335.33264584871
"1430205","5",120.060837,5.050869,0.165103,-0.173174,0.135363,0.136648,0.266916,6421.334259,0.177323,"511558",1683.89651172266
"1430206","5",120.060927,5.050868,0.159737,-0.170716,0.132063,0.139306,0.263194,6389.334259,0.171957,"511558",1676.08490079135
"1430207","5",120.061017,5.050868,0.156566,-0.172480,0.124867,0.136798,0.257378,6297.334259,0.168786,"511558",1668.29653219425
"1430208","5",120.061107,5.050868,0.158428,-0.174807,0.127822,0.144338,0.265928,6281.334259,0.170648,"511558",1660.53173295672
"1430209","5",120.061197,5.050867,0.172701,-0.187155,0.134501,0.138568,0.277041,6289.334259,0.184921,"511558",1652.79083525297
"1430210","5",120.061287,5.050867,0.173591,-0.190850,0.137551,0.138568,0.278596,6257.334259,0.185811,"511558",1645.07417646677
"1430211","5",120.061378,5.050866,0.183740,-0.200528,0.138789,0.139303,0.289408,6249.334259,0.195960,"511558",1637.38209928815
"1430212","5",120.061468,5.050866,0.185526,-0.204143,0.145470,0.134881,0.288984,6177.334259,0.197746,"511558",1629.71495176651
"1430213","5",120.061558,5.050865,0.192193,-0.208990,0.143308,0.133315,0.294540,6177.334259,0.204413,"511558",1622.07308739582
"1430214","5",120.061648,5.050865,0.200534,-0.215130,0.152608,0.135825,0.306701,6165.334259,0.212754,"511558",1614.45686518928
"1430215","5",120.061738,5.050865,0.200949,-0.219966,0.143013,0.138287,0.307749,6057.334259,0.213169,"511558",1606.86664974458
"1430216","5",120.061828,5.050864,0.208791,-0.226054,0.154340,0.124229,0.305880,6009.334259,0.221011,"511558",1599.30281132454
"1430217","5",120.061918,5.050864,0.210725,-0.225896,0.153860,0.127993,0.310024,6013.334259,0.222945,"511558",1591.76572593916
"1430218","5",120.062008,5.050863,0.194858,-0.215416,0.136273,0.140763,0.301640,6033.334259,0.207078,"511558",1584.25577539715
"1430219","5",120.062098,5.050863,0.184834,-0.209817,0.142755,0.140092,0.290798,5969.334259,0.197054,"511558",1576.77334740734
"1430220","5",120.062188,5.050862,0.189045,-0.211709,0.138702,0.141826,0.295252,6089.334259,0.201265,"511558",1569.3188356271
"1430221","5",120.062278,5.050862,0.171824,-0.194631,0.135989,0.146779,0.280576,6089.334259,0.184044,"511558",1561.89263975453
"1430222","5",120.062368,5.050862,0.152827,-0.182240,0.115683,0.168397,0.274741,6105.334259,0.165047,"511558",1554.49516558781
"1430223","5",120.062459,5.050861,0.144310,-0.179941,0.111111,0.176752,0.271186,6169.334259,0.156530,"511558",1547.12682510333
"1430224","5",120.062549,5.050861,0.128189,-0.168297,0.097342,0.180692,0.255081,6133.334259,0.140409,"511558",1539.78803652293
"1430225","5",120.062639,5.050860,0.119524,-0.164335,0.091452,0.185081,0.248430,6125.334259,0.131744,"511558",1532.4792243903
"1430226","5",120.062729,5.050860,0.123982,-0.164450,0.094279,0.178912,0.248696,6149.334259,0.136202,"511558",1525.20081963023
"1430227","5",120.062819,5.050859,0.124726,-0.160271,0.099172,0.174323,0.247140,6165.334259,0.136946,"511558",1517.95325962858
"1430228","5",120.062909,5.050859,0.117993,-0.158537,0.090749,0.186537,0.247840,6189.334259,0.130213,"511558",1510.73698828891
"1430229","5",120.062999,5.050859,0.125471,-0.163047,0.098391,0.181514,0.253231,6145.334259,0.137691,"511558",1503.55245610286
"1430230","5",120.063089,5.050858,0.128544,-0.165257,0.102312,0.175929,0.252886,6133.334259,0.140764,"511558",1496.40012020933
"1430231","5",120.063179,5.050858,0.123193,-0.159260,0.100218,0.173573,0.244862,6117.334259,0.135413,"511558",1489.28044447051
"1430232","5",120.063269,5.050857,0.127900,-0.167424,0.101639,0.173015,0.249306,6165.334259,0.140120,"511558",1482.19389950929
"1430233","5",120.063359,5.050857,0.132872,-0.171605,0.104900,0.171652,0.254096,6165.334259,0.145092,"511558",1475.14096279003
"1430234","5",120.063449,5.050856,0.127995,-0.165472,0.102749,0.170534,0.247994,6125.334259,0.140215,"511558",1468.12211866522
"1430235","5",120.063540,5.050856,0.128432,-0.166721,0.093311,0.171720,0.247732,6121.334259,0.140652,"511558",1461.13785842399
"1430236","5",120.063630,5.050856,0.130351,-0.167272,0.100537,0.173987,0.253277,6045.334259,0.142571,"511558",1454.18868035432
"1430237","5",120.063720,5.050855,0.131545,-0.167710,0.097919,0.175718,0.255402,6057.334259,0.143765,"511558",1447.27508978818
"1430238","5",120.063810,5.050855,0.134573,-0.170732,0.093206,0.179699,0.260063,6169.334259,0.146793,"511558",1440.39759914216
"1430239","5",120.063900,5.050854,0.136091,-0.172751,0.100222,0.171946,0.256724,6165.334259,0.148311,"511558",1433.5567279707
"1430240","5",120.063990,5.050854,0.137317,-0.172346,0.104217,0.166855,0.254998,6125.334259,0.149537,"511558",1426.75300299376
"1430241","5",120.064080,5.050853,0.144779,-0.179149,0.106799,0.164368,0.261560,6117.334259,0.156999,"511558",1419.98695813918
"1430242","5",120.064170,5.050853,0.147078,-0.178100,0.109397,0.167212,0.266667,6113.334259,0.159298,"511558",1413.2591345785
"1430243","5",120.064260,5.050853,0.154289,-0.183459,0.114760,0.162565,0.271958,6181.334259,0.166509,"511558",1406.57008074496
"1430244","5",120.064350,5.050852,0.164842,-0.189349,0.123797,0.146815,0.271705,6205.334259,0.177062,"511558",1399.92035236558
"1430245","5",120.064440,5.050852,0.157694,-0.185258,0.119034,0.161032,0.274194,6237.334259,0.169914,"511558",1393.31051247826
"1430246","5",120.064531,5.050851,0.160383,-0.186928,0.122025,0.157105,0.274386,6233.334259,0.172603,"511558",1386.74113144675
"1430247","5",120.064621,5.050851,0.169541,-0.193227,0.126775,0.143502,0.275146,6157.334259,0.181761,"511558",1380.21278696448
"1430248","5",120.064711,5.050850,0.170937,-0.191812,0.126004,0.147167,0.279235,6189.334259,0.183157,"511558",1373.72606406964
